month,time,date,round_number,card_deck
Sun,21:07,14/6/2026,1,🃁
Sun,21:08,14/6/2026,6,🂨 🂲 🃔 🂮 🃃 🂧
Sun,23:00,14/6/2026,4,🃅 🃄 🂸 🂳
Sun,23:08,14/6/2026,1,🃈
Sun,23:16,14/6/2026,9,🃝 🂤 🂷 🂻 🂸 🃊 🂲 🃑 🃙
Sun,23:18,14/6/2026,4,🂫 🃆 🂷 🂩
Sun,23:19,14/6/2026,2,🃕 🃇
Sun,23:21,14/6/2026,1,🂪
Sun,23:23,14/6/2026,8,🂨 🃒 🂦 🂱 🂴 🂥 🂾 🃇
Sun,23:23,14/6/2026,4,🃁 🃝 🃖 🃉
Sun,23:24,14/6/2026,2,🂳 🃙
Sun,23:29,14/6/2026,1,🂵
Sun,23:30,14/6/2026,9,🃍 🂣 🂮 🂤 🃈 🂩 🂵 🂫 🂪
Mon,00:18,15/6/2026,4,🃎 🂢 🂱 🃇
Mon,00:19,15/6/2026,7,🃒 🃄 🂪 🂳 🃅 🃉 🂻
Mon,00:23,15/6/2026,2,🂾 🃄
Mon,00:23,15/6/2026,1,🃆
Mon,00:23,15/6/2026,2,🂳 🂩
Mon,09:19,15/6/2026,3,🃃 🃝 🂵
Mon,09:23,15/6/2026,3,🂴 🃎 🃚
Mon,09:32,15/6/2026,1,🃔
Mon,09:34,15/6/2026,1,🂻
Mon,09:37,15/6/2026,1,🂶
Mon,09:42,15/6/2026,8,🃝 🂣 🃄 🂷 🃑 🃛 🂵 🃚
Mon,09:43,15/6/2026,1,🃚
Mon,09:51,15/6/2026,2,🃞 🂸
Mon,10:18,15/6/2026,3,🃁 🃒 🂸
Mon,11:08,15/6/2026,4,🂮 🃗 🂵 🃈
Thurs,12:26,9/7/2026,3,🂳 🂥 🂸
Thurs,12:30,9/7/2026,7,🃊 🃖 🂫 🃓 🃁 🃅 🂧
Tues,15:14,1/9/2026,2,🃍 🃇
Wed,07:56,2/9/2026,3,🂩 🂵 🃚
Wed,10:20,2/9/2026,1,🂧
Wed,10:25,2/9/2026,1,🃇
Wed,10:26,2/9/2026,1,🃛
Wed,10:27,2/9/2026,2,🂦 🃝
